Frecuency_Aportes;Frecuency_Rescates;Monetary_Aportes;Monetary_Rescates;Recency_Aportes;Recency_Rescates;Perfil_Movimientos;Perfil_Cliente;Sexo;Estado_Civil;Ingeniero;Region_Metropolitana;Porcentaje_Promedio;Edad;Antiguedad;Accionario;Corto;Rentsem;Rentmen;EEUU;Nacional;FugaBajaS;FugaBajaM;RescateBajaSem;RescateBajaMes;FugaCategorica;FugaNumerica;CLV;
0,034883721;0,010416667;0,60487348;0,626381611;0,685404643;0,985408989;0,625;0,5;0;0;0;0;0,154389735;0,125773696;0,353606789;0,214285714;0;0,293734337;0,458039128;0,214285714;0,214285714;0;0;0;0;F;1;3463,25655;4,726427342
0;0,03125;0;0,85841467;1;0,401700041;0,70754717;0,25;0;0;1;0;0,072742987;0,400663457;0,353606789;0,471698113;0;0,373818182;0,526822661;0,075471698;0,113207547;0;0;0,666666667;0,666666667;N;0;231595,6455;316,0666775
0;0;0;0;1;1;0,6;0,5;0;0;0;1;0;0,200534002;0,353606789;0,4;0,2;0,357702183;0,540047747;0;0,2;0;0;0;0;N;0;7113,538181;9,708094354
0,023255814;0,0625;0,668681251;0,722579859;0,687876924;0,604175551;0,838983051;0,5;0;0;1;1;0,061387583;0,395727983;0,353135314;0,779661017;0,084745763;0,398750145;0,506192164;0,254237288;0,169491525;0,166666667;0,166666667;0,5;0,333333333;N;0;16690,86047;22,77860106
0;0;0;0;1;1;0,625;0,5;0;1;1;1;0;0,635341235;0,352663838;0,4;0,1;0,367264647;0,565865105;0;0,2;0;0;0;0;N;0;201211,5086;274,6003832
0;0;0;0;1;1;0,75;0,5;0;0;0;0;0;0,423520369;0,352192362;0;0;0,220116474;0,329204897;0;0;0;0;0;0;N;0;4064,878961;5,547482488
0;0;0;0;1;1;1;0,5;0;0;0;1;0;0,068287552;0,352192362;1;0;0,18213455;0,556637233;0,4;0;0;0;0;0;F;1;3353,525143;4,576673053
0;0,010416667;0;0,632726476;1;0,902867356;0,818181818;0,5;0;0;0;1;0,135877135;0,178081638;0,350777935;0,636363636;0;0,294361656;0,558920183;0,181818182;0;0;0;0;0;N;0;2700,400716;3,685331304
0,127906977;0,020833333;0,744669929;0,819043409;0,59666807;0,391628141;0,544776119;0,75;0;0;0;0;0,148871851;0,229823213;0,350306459;0,313432836;0,23880597;0,308048948;0,501112302;0,164179104;0,23880597;0;0;0;0;N;0;38859,63313;53,03310046
0;0,052083333;0;0,745983951;1;0,977707583;0,590909091;0,5;0;0;1;1;0,168812769;0,246895101;0,350306459;0,363636364;0,090909091;0,368799343;0,536648853;0;0,272727273;0;0;0;0,4;N;0;3076,523966;4,198639858
0,197674419;0;0,575206028;0;0,105451258;1;0,6125;0,5;0;1;0;0;0;0,41150532;0,349834983;0,5;0,35;0,522499365;0,686161969;0,05;0,35;0;0;0;0;N;0;7621,648051;10,40152966
0,011627907;0,010416667;0,575206028;0,573477365;0,713280586;0,65023974;0,428571429;0,5;0;0;1;0;0,232158618;0,057283871;0,349834983;0;0,285714286;0,387359877;0,464854526;0;0,428571429;0;0;1;1;N;0;409,4146089;0,558742436
0,081395349;0,041666667;0,634707966;0,696676436;0,838209371;0,745412563;0,946428571;0,5;0;0;1;1;0,248034924;0,131963267;0,351720886;0,714285714;0;0,448906441;0,552078557;0,142857143;0;0,25;0,25;0,5;0,75;N;0;478,4565781;0,652966426
0,046511628;0;0,748620567;0;0,64726943;1;0,266666667;0,25;1;1;0;0;0;0,364294672;0,349834983;0;0,133333333;0,404599345;0,491675448;0;0,8;0;0;0;0;N;0;5702703,508;7782,67893
0,011627907;0,0625;0,802416862;0,763744095;0,987146164;0,907159256;0,272727273;0,25;1;1;0;0;0,201722601;0,207411303;0,349834983;0,272727273;0,727272727;0,196372247;0,456790266;0,272727273;0,727272727;0;0;0,166666667;0,166666667;N;0;467,9488659;0,638626184
0;0;0;0;1;1;1;0,25;0;0;0;1;0;0,213115417;0,350306459;1;0;0,334422438;0,701006926;0;0;0;0;0;0;N;0;508,1098701;0,693435311
0;0;0;0;1;1;0,5;0,5;1;1;0;0;0;0,543549496;0,348420556;0;0;0,407755717;0,546356696;0;0;0;0;0;0;N;0;406,4878961;0,554748249
0;0,010416667;0;0,756280668;1;0,922700163;1;0,25;0;0;0;0;0,435422748;0,171770703;0,347949081;1;0;0,087228372;0,63493382;0;0;1;0;1;0;N;0;701,0087012;0,956691092
0;0,083333333;0;0,69090186;1;0,828493084;0,684782609;0,5;0;1;1;0;0,139311151;0,548161333;0,347477605;0,47826087;0,130434783;0,290127525;0,510253628;0,304347826;0,217391304;0;0,125;0,125;0,5;N;0;911,7726753;1,244328059
0;0;0;0;1;1;1;0,5;0;1;1;0;0;0,420000809;0,554926921;1;0;0,040844113;0,476763385;1;0;0;0;0;0;N;0;20324,3948;27,73741244
0;0,03125;0;0,81759603;1;0,934192907;0,692307692;0,5;0;0;0;1;0,244178286;0,237105061;0,347477605;0,384615385;0;0,256083682;0,498626948;0,384615385;0,153846154;0;0;0;0;N;0;4608,637819;6,28956922
0;0;0;0;1;1;1;0,75;0;1;1;0;0;0,463165986;0,353606789;1;0;0,469696897;0,742265425;0,333333333;0;0;0;0;0;N;0;5385,964623;7,350414296
0;0;0;0;1;1;1;0,5;0;1;1;1;0;0,362191027;0,346534653;1;0;0,040844113;0,476763385;1;0;0;0;0;0;N;0;413,642083;0,564511818
0,081395349;0;0,555665753;0;0,391628141;1;0,0625;0,25;1;1;0;1;0;0,355637364;0,359264498;0;0,875;0,382490245;0,487730877;0;0,875;0;0;0;0;F;1;2438,927376;3,328489493
